"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"501","A2083863","412 Sage Hill Grove NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$479,900","$459,900.00","$448,000.00","$253.44","1,321","2","2","3 Storey","4","1","Yes","2016","0","22","10/20/2023","Calgary"
"501","A2079639","3717 15A Street SW Unit#1","See Remarks","S","$459,900","$459,900.00","$448,000.00","$150.00","646","3","2","Bi-Level","4","0","No","1974","0","20","09/29/2023","Calgary"
"501","A2063493","811 Skyview Ranch Grove NE","Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal","S","$449,500","$449,500.00","$448,000.00","$324.45","1,455","4","2","3 Storey","5","1","Yes","2014","0","32","08/07/2023","Calgary"
"501","A2059029","72 Cornerstone Manor NE Unit#118","Common Area Maintenance, Professional Management, See Remarks, Snow Removal","S","$447,500","$447,500.00","$448,000.00","$215.45","1,384","4","2","3 Storey","7","1","Yes","2019","0","25","07/14/2023","Calgary"
"501","A2094526","410 210 Avenue SW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$460,000","$450,000.00","$447,500.00","$200.86","1,162","3","2","3 Storey","6","1","Yes","2023","0","21","12/13/2023","Calgary"
"501","A2074723","101 Panatella Square NW Unit#117","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$459,900","$459,900.00","$447,500.00","$293.14","1,394","3","2","3 Storey","6","2","Yes","2022","0","49","10/06/2023","Calgary"
"501","A2055119","562 Seton Circle SE Unit#408","Maintenance Grounds, Snow Removal","S","$447,400","$447,400.00","$447,400.00","$231.00","1,257","3","2","3 Storey","4","1","Yes","2024","0","118","10/11/2023","Calgary"
"501","A2099546","140 Point Drive NW Unit#16","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$421,124","$421,124.00","$447,000.00","$416.84","1,270","2","1","5 Level Split","6","1","No","1979","1","3","01/08/2024","Calgary"
"501","A2090022","244 Christie Park Mews SW","Amenities of HOA/Condo","S","$439,900","$449,900.00","$447,000.00","$363.00","1,247","3","1","2 Storey","6","1","No","1994","1","43","12/08/2023","Calgary"
"501","A2077307","474 Seton Circle SE Unit#301","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$474,000","$474,000.00","$447,000.00","$320.00","1,709","3","2","3 Storey","6","1","Yes","2023","0","14","09/19/2023","Calgary"
"501","A2071758","50 Cornerstone Passage NE Unit#403","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash","S","$449,900","$449,900.00","$447,000.00","$201.73","1,510","4","2","3 Storey","8","1","Yes","2021","0","20","09/28/2023","Calgary"
"501","A2092922","417 Saddlemont Boulevard","Common Area Maintenance, Heat, Insurance, Professional Management, See Remarks, Sewer, Snow Removal, Trash","S","$449,900","$449,900.00","$446,000.00","$390.00","1,366","3","2","2 Storey","6","1","No","2017","0","20","12/04/2023","Calgary"
"501","A2082742","703 Evanston Square NW","Amenities of HOA/Condo, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$429,900","$429,900.00","$446,000.00","$307.12","1,292","3","2","3 Storey","6","1","Yes","2011","0","8","10/03/2023","Calgary"
"501","A2075752","92 Sierra Morena Green SW","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water","S","$425,000","$425,000.00","$446,000.00","$526.75","1,327","2","2","Bungalow","4","0","Yes","1995","1","3","09/02/2023","Calgary"
"501","A2071181","112 Skyview Ranch Grove NE","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$449,900","$449,900.00","$446,000.00","$324.45","1,146","3","3","2 Storey","5","1","Yes","2014","0","37","09/28/2023","Calgary"
